athlete_id,event
1540702,Womens 50kg
1540704,Mens 57kg
1540706,Mens Épée Individual
1540710,10m Air Rifle Women
1540710,10m Air Rifle Mixed Team
1540717,Womens 200m
1540717,Womens 4 x 100m Relay
1540829,Womens 50m Freestyle
1540832,Individual All-Around
1540905,Womens Canoe Single 200m
1540991,Men -68kg
1540998,Womens Single Sculls
1541062,Womens Individual
1541265,Womens Individual
1541265,Womens Team
1541265,Mixed Team
1541266,Womens Individual
1541266,Womens Team
1541268,Womens Individual
1541268,Womens Team
1541270,Mens Individual
1541270,Mens Team
1541270,Mixed Team
1541272,Mens Individual
1541272,Mens Team
1541275,Mens Individual
1541275,Mens Team
1541290,Mens Singles
1541351,Mens Single Sculls
1541356,Womens 59kg
1541364,Mixed Doubles
1541367,Mixed Doubles
1541369,Mens Singles
1541412,Womens Road Race
1541419,Mens Sabre Team
1541426,Mens Sabre Individual
1541426,Mens Sabre Team
1541427,Mens Sabre Individual
1541427,Mens Sabre Team
1541439,Mens Sabre Individual
1541439,Mens Sabre Team
1541452,Womens 10m Platform
1541452,Womens 3m Springboard
1541453,Womens 3m Springboard
1541460,Womens 200m Freestyle
1541462,Mens 1500m Freestyle
1541467,Men -73 kg
1541468,Womens 100m
1541471,Womens Team
1541473,Mens Singles
1541474,Mens Singles
1541474,Mixed Doubles
1541477,Womens Singles
1541477,Womens Team
1541478,Womens Singles
1541478,Womens Team
1541478,Mixed Doubles
1541544,Skeet Men
1541553,Womens Foil Individual
1541554,Womens Épée Individual
1541568,Mens Canoe Single 1000m
1541569,Mens Canoe Double 500m
1541570,Mens Canoe Double 500m
1541591,Womens 54kg
1541599,Mens 50m Freestyle
1541601,Womens 50m Freestyle
1541606,Mens 100m
1541610,Womens Singles
1541614,Mixed Doubles
1541617,Womens Doubles
1541618,Womens Doubles
1541619,Mixed Doubles
1541620,Mens Singles
1541623,Mens Doubles
1541624,Mens Doubles
1541629,Womens Doubles
1541630,Womens Doubles
1541633,Womens Singles
1541652,Women -49kg
1541656,Womens 4 x 100m Medley Relay
1541656,Relay Only Athlete
1541659,Mens Cross-country
1541672,Womens 4 x 100m Medley Relay
1541672,Relay Only Athlete
1541730,Mens +92kg
1541773,Mens 50m Freestyle
1541825,Women -49kg
1541970,Women +67kg
1542354,Mens Individual
1542359,Men -90 kg
1542385,Mens 100m Butterfly
1542416,10m Air Pistol Women
1542423,Womens Foil Individual
1542468,Mens Doubles
1542473,Mens Doubles
1542494,Women -52 kg
1542511,Men -81 kg
1542537,Mens Singles
1542539,Mens Team
1542541,Mens Singles
1542541,Mens Team
1542543,Womens Singles
1542543,Womens Team
1542547,Mens Singles
1542547,Mens Team
1542547,Mixed Doubles
1542549,Womens Singles
1542549,Mixed Doubles
1542550,Womens Team
1542553,Womens Team
1542726,Men -90 kg
1542850,Mens 400m Hurdles
1542866,Womens Park
1542889,Women
1542889,Womens All-Around
1542889,Womens Balance Beam
1542889,Womens Floor Exercise
1542889,Womens Uneven Bars
1542889,Womens Vault
1542901,B-Boys
1542909,B-Girls
1542945,Womens 10m Platform
1542954,Womens Singles
1542955,Womens 81kg
1542959,Men -81 kg
1542961,Mens 100m Freestyle
1542963,Womens 50m Freestyle
1542996,Womens Individual
1543012,Mens Individual
1543015,Men
1543017,Men
1543019,Men
1543020,Men
1543021,Men
1543022,Men
1543024,Men
1543026,Men
1543028,Men
1543029,Men
1543030,Men
1543031,Men
1543033,Men
1543054,Mens 100m Freestyle
1543059,Men
1543061,Men
1543064,Men
1543080,Womens 100m Backstroke
1543085,Mens Freestyle 57kg
1543088,Mens Freestyle 125kg
1543090,Mens 800m
1543093,Mens 200m Breaststroke
1543095,Mens Freestyle 97kg
1543197,Mens 100m
1543247,Mens Greco-Roman 60kg
1543253,Mens Greco-Roman 67kg
1543258,Mens Greco-Roman 77kg
1543266,Mens Greco-Roman 87kg
1543272,Mens Singles
1543274,Womens 75kg
1543281,Mens Shot Put
1543282,Womens Hammer Throw
1543283,4 x 400m Relay Mixed
1543285,Womens 4 x 400m Relay
1543288,Womens 10m Platform
1543297,Women
1543299,Women
1543302,Mens 50m Freestyle
1543303,Mens 4 x 100m Medley Relay
1543303,Relay Only Athlete
1543304,Womens 100m Breaststroke
1543304,Womens 200m Breaststroke
1543304,Womens 4 x 100m Medley Relay
1543305,Womens 100m Butterfly
1543305,Womens 200m Individual Medley
1543305,Womens 400m Individual Medley
1543305,Womens 4 x 100m Medley Relay
1543306,Mens Skiff
1543307,Mens Skiff
1543310,Womens Dinghy
1543312,Womens 4 x 100m Freestyle Relay
1543312,Womens 4 x 100m Medley Relay
1543312,Relay Only Athlete
1543314,Mens Road Race
1543314,Mens Individual Time Trial
1543316,Womens Individual Stroke Play
1543317,Mens Double Sculls
1543318,Mens Pair
1543319,Womens Four
1543320,Womens Double Sculls
1543322,Lightweight Mens Double Sculls
1543327,Womens 400m
1543327,Womens 4 x 400m Relay
1543389,Mens Marathon
1543408,Men
1543412,Mens Individual
1543412,Mens Team
1543418,Mens 100m
1543422,Womens 100m
1543422,Womens 4 x 100m Relay
1543430,Mens Street
1543437,Womens Individual Stroke Play
1543443,Womens Singles
1543445,Womens Javelin Throw
1543446,Mens 400m
1543470,Mens Long Jump
1543471,Mens Discus Throw
1543474,Womens 400m
1543479,Womens Heptathlon
1543481,Marathon Race Walk Relay Mixed
1543483,Women
1543485,Women
1543487,Men
1543489,Men
1543490,Men
1543494,Womens Park
1543495,Womens Keirin
1543495,Womens Sprint
1543498,Mens Keirin
1543498,Mens Sprint
1543501,Mens Keirin
1543501,Mens Sprint
1543503,Womens 59kg
1543506,Mens 89kg
1543507,Mens 73kg
1543509,Womens 71kg
1543513,Womens 100m Breaststroke
1543540,Womens 200m Freestyle
1543542,Womens 50kg
1543549,Mens 100m Freestyle
1543549,Mens 200m Freestyle
1543554,Mens 1500m Freestyle
1543554,Mens 800m Freestyle
1543608,10m Air Rifle Men
1543615,Mens Greco-Roman 97kg
1543643,Mens Individual
1543694,Mens Singles
1543695,Mens Kayak Single 1000m
1543868,Women -52 kg
1543884,Womens 50m Freestyle
1543943,Mens 100m
1543950,Womens 100m Butterfly
1543963,Womens Individual
1543964,Womens Individual
1543965,Womens Individual
1543966,Mens Individual
1543967,Mens Individual
1543969,Mens Individual
1544063,Women -48 kg
1544081,Womens 75kg
1544098,Womens 400m Freestyle
1544123,Womens Park
1544127,Mens Park
1544131,Womens Park
1544148,Womens 100m Breaststroke
1544151,Duet
1544165,Womens 10km
1544168,Mens 10km
1544169,Mens 10km
1544179,Womens +81kg
1544192,Mens 3m Springboard
1544200,Womens Singles
1544203,Mens Singles
1544208,Mens 10m Platform
1544211,Womens Individual
1544214,Mens Boulder & Lead
1544215,Womens Boulder & Lead
1544218,Mens Boulder & Lead
1544220,Womens Boulder & Lead
1544228,Mens 100m Backstroke
1544301,Mens Singles
1544310,Womens Singles
1544321,Men -60 kg
1544327,Mens High Jump
1544334,Mens 4 x 400m Relay
1544335,Mens 4 x 400m Relay
1544336,Mens 4 x 400m Relay
1544338,Mens 4 x 400m Relay
1544339,Mens 4 x 400m Relay
1544346,Mens 3000m Steeplechase
1544350,Mens Triple Jump
1544354,Mens 20km Race Walk
1544355,Mens 20km Race Walk
1544358,Mens 20km Race Walk
1544360,Marathon Race Walk Relay Mixed
1544385,Mens Shot Put
1544388,Mens Javelin Throw
1544392,Mens 100m Freestyle
1544413,Mens 102kg
1544417,Mens 89kg
1544421,Womens 4 x 400m Relay
1544423,Womens 4 x 400m Relay
1544424,Mens +102kg
1544425,Womens 5000m
1544434,Mens Canoe Single
1544434,Mens Kayak Cross
1544436,Women
1544444,4 x 400m Relay Mixed
1544445,4 x 400m Relay Mixed
1544447,Womens Heptathlon
1544448,4 x 400m Relay Mixed
1544449,Women
1544454,Mens Double Sculls
1544460,Womens Four
1544461,Womens Double Sculls
1544462,Lightweight Womens Double Sculls
1544471,Womens 3000m Steeplechase
1544471,Womens 5000m
1544479,Womens 400m
1544479,Womens 4 x 400m Relay
1544485,Womens Javelin Throw
1544511,Womens 4 x 400m Relay
1544601,Womens Freestyle 53kg
1544602,Womens Freestyle 62kg
1544703,Women -57kg
1544803,Mens Freestyle 86kg
1544830,Mens Freestyle 65kg
1544831,Mens Freestyle 74kg
1544880,Mens Greco-Roman 87kg
1544881,Mens Greco-Roman 77kg
1544882,Mens Greco-Roman 130kg
1544894,Mens Greco-Roman 60kg
1544897,Mens Greco-Roman 97kg
1544908,Mens Freestyle 86kg
1544917,Womens Freestyle 50kg
1544928,Mens Greco-Roman 67kg
1544936,Womens Freestyle 57kg
1545015,Men -60 kg
1545017,Men -66 kg
1545022,Women -57 kg
1545023,Women -78 kg
1545058,Mens 1500m Freestyle
1545058,Mens 800m Freestyle
1545070,Womens Kayak Single 500m
1545086,Womens Canoe Single 200m
1545115,Womens Individual
1545116,Womens Individual
1545119,Mens Individual
1545123,Mens Individual
1545200,Womens Road Race
1545200,Womens Individual Time Trial
1545203,Mens Windsurfing
1545257,Womens 66kg
1545302,Mens Marathon
1545341,Men -73 kg
1545461,Womens Road Race
1545464,10m Air Pistol Men
1545464,10m Air Pistol Mixed Team
1545471,Skeet Women
1545478,Mens Road Race
1545496,Mens Kayak Single
1545496,Mens Kayak Cross
1545498,Womens Kayak Single
1545498,Womens Kayak Cross
1545501,Mens Canoe Single 1000m
1545512,Mens 61kg
1545688,Women
1545688,Womens All-Around
1545688,Womens Balance Beam
1545688,Womens Floor Exercise
1545688,Womens Uneven Bars
1545688,Womens Vault
1545803,Womens Individual
1545856,Womens 100m Butterfly
1545877,Womens Individual
1545879,Womens Road Race
1545881,Womens 100m
1545882,Mens 200m Individual Medley
1545903,Mens Cross-country
1545907,Mens Cross-country
1545909,Womens Cross-country
1545910,Womens Cross-country
1545913,Men
1545944,Mens 50m Freestyle
1545964,Men +80kg
1545966,Mens 100m
1546047,Mens 63.5kg
1546048,Womens 50kg
1546049,Womens 54kg
1546051,Mens 92kg
1546052,Womens 4 x 400m Relay
1546052,4 x 400m Relay Mixed
1546055,Womens 100m Backstroke
1546055,Womens 4 x 100m Freestyle Relay
1546055,Womens 4 x 100m Medley Relay
