athlete_id,medal_date,medal_code,event_id,country_id,name,birth_date,gender,height,weight,education,country,disciplines,Gold Medal,Silver Medal,Bronze Medal,Total
1543021,2024-08-08,3.0,Men,IND,Vivek Sagar PRASAD,2000-02-25,Male,0.0,0.0,"",India,Hockey,0,1,5,6
1543022,2024-08-08,3.0,Men,IND,Mandeep SINGH,1995-01-25,Male,0.0,0.0,"",India,Hockey,0,1,5,6
1543024,2024-08-08,3.0,Men,IND,Shamsher SINGH,1997-07-29,Male,0.0,0.0,"",India,Hockey,0,1,5,6
1543026,2024-08-08,3.0,Men,IND,Abhishek ABHISHEK,1999-08-15,Male,0.0,0.0,"",India,Hockey,0,1,5,6
1543028,2024-08-08,3.0,Men,IND,Lalit Kumar UPADHYAY,1993-12-01,Male,0.0,0.0,"Udai Pratap Autonomous College, Varanasi, IND",India,Hockey,0,1,5,6
1543029,2024-08-08,3.0,Men,IND,Raj Kumar PAL,1998-05-01,Male,0.0,0.0,"",India,Hockey,0,1,5,6
1543030,2024-08-08,3.0,Men,IND,Sukhjeet SINGH,1996-12-05,Male,0.0,0.0,"",India,Hockey,0,1,5,6
1543031,2024-08-08,3.0,Men,IND,Amit ROHIDAS,1993-05-10,Male,0.0,0.0,"Sambalpur University, India",India,Hockey,0,1,5,6
1543033,2024-08-08,3.0,Men,IND,Gurjant SINGH,1995-01-26,Male,0.0,0.0,"DAV College, Chandigarh, IND",India,Hockey,0,1,5,6
1543059,2024-08-08,3.0,Men,IND,Manpreet SINGH,1992-06-26,Male,0.0,0.0,"Kurukshetra University, India",India,Hockey,0,1,5,6
1543061,2024-08-08,3.0,Men,IND,Sanjay SANJAY,2001-05-05,Male,0.0,0.0,"",India,Hockey,0,1,5,6
1543064,2024-08-08,3.0,Men,IND,Sumit SUMIT,1996-12-20,Male,0.0,0.0,"",India,Hockey,0,1,5,6
1543088,2024-08-10,2.0,Men's Freestyle 125kg,IRI,Amir Hossein ZARE,2001-01-16,Male,0.0,0.0,"",IR Iran,Wrestling,3,6,3,12
1543095,2024-08-11,3.0,Men's Freestyle 97kg,IRI,Amirali AZARPIRA,2002-03-26,Male,0.0,0.0,"",IR Iran,Wrestling,3,6,3,12
1543304,2024-07-29,3.0,Women's 100m Breaststroke,IRL,Mona Mc SHARRY,2000-08-21,Female,0.0,0.0,"Studying Kinesiology at University of Tennessee (Knoxville, TN, USA)",Ireland,Swimming,4,0,3,7
1543317,2024-08-01,3.0,Men's Double Sculls,IRL,Philip DOYLE,1992-09-17,Male,0.0,0.0,"Graduated in 2018 with a degree in Medicine from Queen's University Belfast (Northern Ireland, GBR)",Ireland,Rowing,4,0,3,7
1543322,2024-08-02,1.0,Lightweight Men's Double Sculls,IRL,Fintan Mc CARTHY,1996-11-23,Male,0.0,0.0,Graduated with a Bachelor's degree in Science majoring Physiology from University College Cork (IRL),Ireland,Rowing,4,0,3,7
1543506,2024-08-09,2.0,Men's 89kg,COL,Yeison LOPEZ,1999-09-01,Male,0.0,0.0,"",Colombia,Weightlifting,0,3,1,4
1543509,2024-08-09,2.0,Women's 71kg,COL,Mari Leivis SANCHEZ,1991-10-08,Female,0.0,0.0,"",Colombia,Weightlifting,0,3,1,4
1543549,2024-07-29,1.0,Men's 200m Freestyle,ROU,David POPOVICI,2004-09-15,Male,0.0,0.0,Studying psychology at University of Bucharest (ROU),Romania,Swimming,3,4,2,9
1543549,2024-07-31,3.0,Men's 100m Freestyle,ROU,David POPOVICI,2004-09-15,Male,0.0,0.0,Studying psychology at University of Bucharest (ROU),Romania,Swimming,3,4,2,9
1543963,2024-07-31,1.0,Women's Individual,FRA,Cassandre BEAUGRAND,1997-05-23,Female,0.0,0.0,"Loughborough University, Loughborough (GBR)",France,Triathlon,16,26,22,64
1543967,2024-07-31,3.0,Men's Individual,FRA,Leo BERGERE,1996-06-28,Male,0.0,0.0,"",France,Triathlon,16,26,22,64
1544123,2024-08-06,3.0,Women's Park,GBR,Sky BROWN,2008-07-07,Female,0.0,0.0,"",Great Britain,Skateboarding,14,22,29,65
1544151,2024-08-10,2.0,Duet,GBR,Kate SHORTMAN,2001-11-19,Female,0.0,0.0,Studies International Management and French at the University of Bath (GBR),Great Britain,Artistic Swimming,14,22,29,65
1544179,2024-08-11,3.0,Women's +81kg,GBR,Emily CAMPBELL,1994-05-06,Female,0.0,0.0,Received a Bachelor's degree in Sport Science from Leeds Beckett University (GBR) in 2016,Great Britain,Weightlifting,14,22,29,65
1544218,2024-08-09,1.0,Men's Boulder & Lead,GBR,Toby ROBERTS,2005-03-15,Male,174.0,0.0,"",Great Britain,Sport Climbing,14,22,29,65
1544424,2024-08-10,2.0,Men's +102kg,ARM,Varazdat LALAYAN,1999-05-01,Male,0.0,0.0,"",Armenia,Weightlifting,0,3,1,4
1544454,2024-08-01,3.0,Men's Double Sculls,IRL,Daire LYNCH,1998-06-19,Male,0.0,0.0,"Graduated in 2022 with a Bachelor's degree in Arts, Economics from Yale University (North Haven, CT, USA)",Ireland,Rowing,4,0,3,7
1544803,2024-08-09,2.0,Men's Freestyle 86kg,IRI,Hassan YAZDANICHARATI,1994-12-26,Male,0.0,0.0,"Physical Education, Public Administration at Islamic Azad University (Qaem Shahr, IRI)",IR Iran,Wrestling,3,6,3,12
1544830,2024-08-11,2.0,Men's Freestyle 65kg,IRI,Rahman AMOUZADKHALILI,2002-07-17,Male,0.0,0.0,"",IR Iran,Wrestling,3,6,3,12
1544880,2024-08-08,2.0,Men's Greco-Roman 87kg,IRI,Alireza MOHMADIPIANI,2002-10-30,Male,0.0,0.0,"",IR Iran,Wrestling,3,6,3,12
1544882,2024-08-06,3.0,Men's Greco-Roman 130kg,IRI,Amin MIRZAZADEH,1998-01-08,Male,0.0,0.0,"",IR Iran,Wrestling,3,6,3,12
1544897,2024-08-07,1.0,Men's Greco-Roman 97kg,IRI,Mohammadhadi SARAVI,1998-01-06,Male,0.0,0.0,"",IR Iran,Wrestling,3,6,3,12
1544928,2024-08-08,1.0,Men's Greco-Roman 67kg,IRI,Saeid ESMAEILI LEIVESI,2003-07-15,Male,0.0,0.0,"",IR Iran,Wrestling,3,6,3,12
1545116,2024-08-11,2.0,Women's Individual,FRA,Elodie CLOUVEL,1989-01-14,Female,0.0,0.0,"Business, English, Sport Studies - National Institute of Sport and Physical Education (Paris, FRA)",France,Modern Pentathlon,16,26,22,64
1545464,2024-07-30,3.0,10m Air Pistol Mixed Team,IND,Sarabjot SINGH,2001-09-30,Male,0.0,0.0,Graduated in 2023 with a Bachelor's degree in Arts from the Panjab University (IND),India,Shooting,0,1,5,6
1545688,2024-08-04,1.0,Women's Uneven Bars,ALG,Kaylia NEMOUR,2006-12-30,Female,0.0,0.0,"",Algeria,Artistic Gymnastics,2,0,1,3
1546651,2024-07-30,2.0,Men -81 kg,GEO,Tato GRIGALASHVILI,1999-12-01,Male,0.0,0.0,"Georgian National University SEU (Tbilisi, GEO)",Georgia,Judo,3,3,1,7
1547863,2024-07-31,2.0,Men's Quadruple Sculls,ITA,Luca CHIUMENTO,1997-11-19,Male,0.0,0.0,Studies Civil Engineering at the University of Padua (ITA),Italy,Rowing,12,13,15,40
1547870,2024-08-02,2.0,Lightweight Men's Double Sculls,ITA,Stefano OPPO,1994-09-12,Male,0.0,0.0,"",Italy,Rowing,12,13,15,40
1547871,2024-07-31,2.0,Men's Quadruple Sculls,ITA,Andrea PANIZZA,1998-07-14,Male,0.0,0.0,"",Italy,Rowing,12,13,15,40
1547873,2024-08-02,2.0,Lightweight Men's Double Sculls,ITA,Gabriel SOARES,1997-01-22,Male,0.0,0.0,Has a Diploma in Industrial Mechanics,Italy,Rowing,12,13,15,40
1548401,2024-08-10,3.0,Men +80kg,CIV,Cheick Sallah CISSE,1993-09-19,Male,0.0,0.0,"Studied Electrical Engineering at Group LOKO School of Technology (Abidjan, CIV)",Côte d'Ivoire,Taekwondo,0,0,1,1
1548817,2024-07-31,1.0,Men -90 kg,GEO,Lasha BEKAURI,2000-07-26,Male,0.0,0.0,"Georgian National University, Tbilisi (GEO)",Georgia,Judo,3,3,1,7
1548868,2024-08-08,2.0,Men's Canoe Double 500m,ITA,Carlo TACCHINI,1995-01-25,Male,0.0,0.0,"Political Science at Unicusano (Rome, ITA)",Italy,Canoe Sprint,12,13,15,40
