athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,education,Gold Medal,Silver Medal,Bronze Medal,Total
1545688,2024-08-04,Gold Medal,Artistic Gymnastics,Algeria,Kaylia NEMOUR,2006-12-30,Female,0.0,0.0,"",2,0,1,3
1546651,2024-07-30,Silver Medal,Judo,Georgia,Tato GRIGALASHVILI,1999-12-01,Male,0.0,0.0,"Georgian National University SEU (Tbilisi, GEO)",3,3,1,7
1547863,2024-07-31,Silver Medal,Rowing,Italy,Luca CHIUMENTO,1997-11-19,Male,0.0,0.0,Studies Civil Engineering at the University of Padua (ITA),12,13,15,40
1547870,2024-08-02,Silver Medal,Rowing,Italy,Stefano OPPO,1994-09-12,Male,0.0,0.0,"",12,13,15,40
1547871,2024-07-31,Silver Medal,Rowing,Italy,Andrea PANIZZA,1998-07-14,Male,0.0,0.0,"",12,13,15,40
1547873,2024-08-02,Silver Medal,Rowing,Italy,Gabriel SOARES,1997-01-22,Male,0.0,0.0,Has a Diploma in Industrial Mechanics,12,13,15,40
1548401,2024-08-10,Bronze Medal,Taekwondo,Côte d'Ivoire,Cheick Sallah CISSE,1993-09-19,Male,0.0,0.0,"Studied Electrical Engineering at Group LOKO School of Technology (Abidjan, CIV)",0,0,1,1
1548817,2024-07-31,Gold Medal,Judo,Georgia,Lasha BEKAURI,2000-07-26,Male,0.0,0.0,"Georgian National University, Tbilisi (GEO)",3,3,1,7
1548868,2024-08-08,Silver Medal,Canoe Sprint,Italy,Carlo TACCHINI,1995-01-25,Male,0.0,0.0,"Political Science at Unicusano (Rome, ITA)",12,13,15,40
1548871,2024-08-08,Silver Medal,Canoe Sprint,Italy,Gabriele CASADEI,2002-08-10,Male,0.0,0.0,"",12,13,15,40
1548948,2024-08-09,Silver Medal,Rhythmic Gymnastics,Bulgaria,Boryana KALEYN,2000-08-23,Female,0.0,0.0,"Coaching at Vasil Levski National Sports Academy (Sofia, BUL)",3,1,3,7
1550116,2024-08-08,Bronze Medal,Wrestling,Ukraine,Zhan BELENIUK,1991-01-24,Male,0.0,0.0,"Studied Coaching, Sports Psychology at the National University of Ukraine (Kyiv, UKR)",3,5,4,12
1550119,2024-08-08,Silver Medal,Wrestling,Ukraine,Parviz NASIBOV,1998-08-18,Male,0.0,0.0,"Classic Private University (Zaporozhye, UKR)",3,5,4,12
1550148,2024-08-07,Silver Medal,Weightlifting,Romania,Mihaela Valentina CAMBEI,2002-11-18,Female,0.0,0.0,"",3,4,2,9
1550162,2024-07-28,Silver Medal,Judo,Kosovo,Distria KRASNIQI,1995-12-10,Female,0.0,0.0,"Sport Education, UBT University",0,1,1,2
1550167,2024-07-30,Bronze Medal,Judo,Kosovo,Laura FAZLIU,2000-09-28,Female,0.0,0.0,"",0,1,1,2
1550170,2024-08-05,Bronze Medal,Artistic Gymnastics,Romania,Ana BARBOSU,2006-07-26,Female,0.0,0.0,"",3,4,2,9
1550184,2024-08-04,Bronze Medal,Boxing,Georgia,Lasha GURULI,1996-08-27,Male,178.0,0.0,"Studied at the State College of Physical Education and Sports (Tbilisi, GEO)",3,3,1,7
1550250,2024-08-08,Silver Medal,Athletics,India,Neeraj CHOPRA,1997-12-24,Male,186.0,0.0,"DAV College (Chandigarh, IND)",0,1,5,6
1550285,2024-08-03,Gold Medal,Rowing,Romania,Adriana ADAM,1999-04-11,Female,0.0,0.0,Studied Physical Education and Sport at the University of Craiova (ROU),3,4,2,9
1550289,2024-08-02,Silver Medal,Rowing,Romania,Roxana ANGHEL,1998-01-01,Female,0.0,0.0,"Studied Physical Education and Sport Studies at the University of Craiova (Craiova, ROU)",3,4,2,9
1550289,2024-08-03,Gold Medal,Rowing,Romania,Roxana ANGHEL,1998-01-01,Female,0.0,0.0,"Studied Physical Education and Sport Studies at the University of Craiova (Craiova, ROU)",3,4,2,9
1550294,2024-08-03,Gold Medal,Rowing,Romania,Amalia BERES,1997-06-18,Female,0.0,0.0,"",3,4,2,9
1550295,2024-08-09,Bronze Medal,Canoe Sprint,Republic of Moldova,Serghei TARNOVSCHI,1997-06-24,Male,0.0,0.0,Ternopil National Economic University (UKR),0,1,3,4
1550303,2024-08-01,Silver Medal,Rowing,Romania,Ancuta BODNAR,1998-09-25,Female,0.0,0.0,Studied Physical Education and Sport at the University of Craiova (ROU),3,4,2,9
1550303,2024-08-03,Gold Medal,Rowing,Romania,Ancuta BODNAR,1998-09-25,Female,0.0,0.0,Studied Physical Education and Sport at the University of Craiova (ROU),3,4,2,9
1550384,2024-08-02,Silver Medal,Rowing,Romania,Ionela Livia COZMIUC,1995-01-03,Female,0.0,0.0,"",3,4,2,9
1550437,2024-08-03,Gold Medal,Rowing,Romania,Maria LEHACI,1999-06-28,Female,0.0,0.0,"",3,4,2,9
1550542,2024-08-03,Gold Medal,Rowing,Romania,Victoria Stefania PETREANU,2003-01-21,Female,0.0,0.0,"",3,4,2,9
1550560,2024-08-01,Silver Medal,Rowing,Romania,Simona RADIS,1999-04-05,Female,0.0,0.0,"",3,4,2,9
1550560,2024-08-03,Gold Medal,Rowing,Romania,Simona RADIS,1999-04-05,Female,0.0,0.0,"",3,4,2,9
1550630,2024-08-03,Gold Medal,Rowing,Romania,Maria Magdalena RUSU,1999-09-30,Female,0.0,0.0,"Studied Physical Education and Sport Studies at the Romanian-American University (Bucharest, ROU)",3,4,2,9
1550661,2024-08-02,Silver Medal,Rowing,Romania,Gianina Elena van GRONINGEN,1995-05-21,Female,0.0,0.0,Graduated with a Bachelor's degree in Sport Studies from University of Craiova (ROU),3,4,2,9
1550789,2024-08-02,Silver Medal,Rowing,Romania,Ioana VRINCEANU,1994-03-07,Female,0.0,0.0,"",3,4,2,9
1550789,2024-08-03,Gold Medal,Rowing,Romania,Ioana VRINCEANU,1994-03-07,Female,0.0,0.0,"",3,4,2,9
1550975,2024-08-01,Gold Medal,Canoe Slalom,Italy,Giovanni de GENNARO,1992-07-21,Male,0.0,0.0,"",12,13,15,40
1551061,2024-08-05,Gold Medal,Artistic Gymnastics,Italy,Alice D'AMATO,2003-02-07,Female,0.0,0.0,"",12,13,15,40
1551061,2024-07-30,Silver Medal,Artistic Gymnastics,Italy,Alice D'AMATO,2003-02-07,Female,0.0,0.0,"",12,13,15,40
1551186,2024-08-01,Gold Medal,Rowing,Romania,Andrei Sebastian CORNEA,1999-11-10,Male,0.0,0.0,"",3,4,2,9
1551238,2024-08-01,Gold Medal,Rowing,Romania,Marian Florian ENACHE,1995-08-05,Male,0.0,0.0,Studied Physical Education and Sport Studies at the University of Craiova (ROU),3,4,2,9
1551307,2024-08-10,Silver Medal,Weightlifting,Uzbekistan,Akbar DJURAEV,1999-10-08,Male,0.0,0.0,"Studied at Uzbek State University of Physical Education and Sport (Chirchiq, UZB)",8,2,3,13
1551387,2024-07-28,Bronze Medal,Shooting,Italy,Paolo MONNA,1998-04-19,Male,0.0,0.0,"",12,13,15,40
1551388,2024-07-28,Silver Medal,Shooting,Italy,Federico Nilo MALDINI,2001-03-28,Male,0.0,0.0,"",12,13,15,40
1551443,2024-08-10,Gold Medal,Weightlifting,Georgia,Lasha TALAKHADZE,1993-10-02,Male,0.0,0.0,"",3,3,1,7
1552305,2024-08-09,Silver Medal,Athletics,Italy,Nadia BATTOCLETTI,2000-04-12,Female,170.0,0.0,"Architecture, Building and Construction Engineering at the University of Trento (ITA)",12,13,15,40
1552370,2024-08-01,Silver Medal,Judo,Georgia,Ilia SULAMANIDZE,2001-06-18,Male,0.0,0.0,University education,3,3,1,7
1552375,2024-08-09,Bronze Medal,Athletics,Italy,Andy DIAZ HERNANDEZ,1995-12-25,Male,192.0,0.0,Electronics at UCCFD Manuel Fajardo (CUB),12,13,15,40
1552378,2024-08-06,Bronze Medal,Athletics,Italy,Mattia FURLANI,2005-02-07,Male,183.0,0.0,Linguistic studies,12,13,15,40
1552495,2024-08-11,Silver Medal,Wrestling,Georgia,Givi MATCHARASHVILI,1997-05-17,Male,0.0,0.0,"",3,3,1,7
1553031,2024-08-10,Bronze Medal,Modern Pentathlon,Italy,Giorgio MALAN,2000-01-27,Male,0.0,0.0,Currently enrolled in a degree course in Economics and Management in Italy [university unknown],12,13,15,40
1553249,2024-08-02,Silver Medal,Archery,Germany,Florian UNRUH,1993-06-07,Male,0.0,0.0,Studied Computer Science at the University of Kiel (GER),12,13,8,33
1553258,2024-08-02,Silver Medal,Archery,Germany,Michelle KROPPEN,1996-04-19,Female,0.0,0.0,"",12,13,8,33
1554885,2024-08-10,Gold Medal,Wrestling,Georgia,Geno PETRIASHVILI,1994-04-01,Male,0.0,0.0,Studied at Gori State Teaching University (GEO),3,3,1,7
1554972,2024-08-03,Silver Medal,Tennis,Croatia,Donna VEKIC,1996-06-28,Female,179.0,0.0,"",2,2,3,7
1555098,2024-08-06,Gold Medal,Boxing,Ireland,Kellie HARRINGTON,1989-12-11,Female,169.0,0.0,"",4,0,3,7
1555185,2024-08-08,Bronze Medal,Boxing,Bulgaria,Javier IBANEZ DIAZ,1996-07-14,Male,165.0,0.0,"",3,1,3,7
1555372,2024-08-07,Gold Medal,Athletics,Morocco,Soufiane EL BAKKALI,1996-01-07,Male,196.0,0.0,"",1,0,1,2
1555537,2024-08-07,Gold Medal,Boxing,Cuba,Erislandy ALVAREZ BORGES,2000-07-14,Male,168.0,0.0,"",2,1,6,9
1555548,2024-08-04,Bronze Medal,Boxing,Cuba,Arlen LOPEZ CARDONA,1993-02-21,Male,170.0,0.0,"University of Oriente (Santiago de Cuba, CUB)",2,1,6,9
1555976,2024-08-01,Silver Medal,Shooting,Ukraine,Serhiy KULISH,1993-04-17,Male,0.0,0.0,Studied Physical Education at the Kamianets-Podilskyi National Ivana National University (UKR),3,5,4,12
1556045,2024-08-08,Gold Medal,Boxing,Uzbekistan,Hasanboy DUSMATOV,1993-06-24,Male,156.0,0.0,"Coaching at Uzbek State University of Physical Culture and Sport, Chirchiq (UZB)",8,2,3,13
1556049,2024-08-10,Gold Medal,Boxing,Uzbekistan,Abdumalik KHALOKOV,2000-04-09,Male,174.0,0.0,"Sport Studies at Uzbek State University of Physical Culture and Sport, Chirchiq (UZB)",8,2,3,13
1556797,2024-08-09,Gold Medal,Boxing,Uzbekistan,Asadkhuja MUYDINKHUJAEV,2001-05-08,Male,174.0,0.0,"",8,2,3,13
1556860,2024-08-09,Gold Medal,Boxing,Uzbekistan,Lazizbek MULLOJONOV,1999-05-13,Male,192.0,0.0,"",8,2,3,13
1556869,2024-08-10,Gold Medal,Boxing,Uzbekistan,Bakhodir JALOLOV,1994-07-08,Male,201.0,0.0,"Uzbek State Institute of Physical Education (Chirchiq, UZB)",8,2,3,13
1556873,2024-08-09,Gold Medal,Wrestling,Bulgaria,Magomed Eldarovitch RAMAZANOV,1993-05-22,Male,0.0,0.0,"",3,1,3,7
1558773,2024-08-05,Gold Medal,Triathlon,Germany,Laura LINDEMANN,1996-06-26,Female,0.0,0.0,"",12,13,8,33
1558775,2024-08-05,Gold Medal,Triathlon,Germany,Lasse LUEHRS,1996-05-16,Male,0.0,0.0,"Business Administration and Management at the IU International University of Applied Sciences (Bad Honnef, GER)",12,13,8,33
