athlete_id,name,birth_date,gender,country,height,weight,education
1559580,Tim MOURNIAC,1998-04-14,Male,France,0.0,0.0,"Sciences Po (Paris Institute of Political Studies), 2017-2020"
1559581,Lou BERTHOMIEU,2001-06-20,Female,France,0.0,0.0,Sciences Po Paris (FRA)
1559918,Lisneidy VEITIA,1994-04-29,Female,Cuba,168.0,0.0,""
1559994,Alonso CORREA,1998-01-03,Male,Peru,0.0,0.0,""
1560071,Lucca MESINAS,1996-04-20,Male,Peru,0.0,0.0,""
1560138,Sol AGUIRRE,2003-07-18,Female,Peru,0.0,0.0,""
1560166,Bocar DIOP,1997-01-03,Male,Senegal,0.0,0.0,""
1560182,Louis Francois MENDY,1999-03-02,Male,Senegal,190.0,0.0,""
1560261,Milagro MENA SOLANO,1993-04-30,Female,Costa Rica,0.0,0.0,""
1560280,ZHOU Jingyi,2005-05-08,Female,Singapore,0.0,0.0,""
1560283,Reapi ULUNISAU,1994-11-02,Female,Fiji,163.0,59.0,""
1560288,Laisana LIKUCEVA,1999-02-03,Female,Fiji,169.0,76.0,""
1560290,Ana Maria NAIMASI,1994-02-21,Female,Fiji,165.0,67.0,"Graduated with a Diploma in Hospitality Management at Vishan Infotech (Lautoka, FIJ)"
1560315,Maria ROKOTUISIGA,2001-06-08,Female,Fiji,164.0,65.0,""
1560342,Alexandr YEREMENKO,2004-07-09,Male,Kazakhstan,0.0,0.0,""
1560348,Michelle TAU,1997-04-01,Female,Lesotho,0.0,0.0,"Studied Spiritual Care and Counseling at the National University of Lesotho (Roma, LES)"
1560376,HUSSEIN HASAN,2003-10-05,Male,Iraq,190.0,0.0,""
1560451,AHMED HASAN,2001-09-24,Male,Iraq,180.0,0.0,""
1560538,Alice BETTO,1987-12-10,Female,Italy,0.0,0.0,"Restoration - Brera Academy of Fine Arts (Milan, ITA)"
1560539,Bianca SEREGNI,2000-03-22,Female,Italy,0.0,0.0,Psychology at University of Milan (ITA)
1560540,Verena STEINHAUSER,1994-10-14,Female,Italy,0.0,0.0,""
1560544,Gianluca POZZATTI,1993-07-22,Male,Italy,0.0,0.0,Bachelor's degree in Civil Engineering at the University of Trento (ITA).</p><p>Master's in Management Engineering at the University of Bergamo (ITA)
1560546,Alessio CROCIANI,2001-11-19,Male,Italy,0.0,0.0,""
1560668,Elisabeth STRAKA,1999-08-29,Female,Austria,0.0,0.0,""
1560669,Bilyana Zhivkova DUDOVA,1997-08-01,Female,Bulgaria,0.0,0.0,""
1560673,Jessica PILZ,1996-11-22,Female,Austria,165.0,0.0,"Sports Science (Innsbruck, AUT)"
