athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,gold_medal,silver_medal,bronze_medal,total
1550289,8/2/2024,Silver Medal,Rowing,Romania,Roxana ANGHEL,1/1/1998,Female,0,0,3,4,2,9
1550289,8/3/2024,Gold Medal,Rowing,Romania,Roxana ANGHEL,1/1/1998,Female,0,0,3,4,2,9
1550294,8/3/2024,Gold Medal,Rowing,Romania,Amalia BERES,6/18/1997,Female,0,0,3,4,2,9
1550295,8/9/2024,Bronze Medal,Canoe Sprint,Republic of Moldova,Serghei TARNOVSCHI,6/24/1997,Male,0,0,0,1,3,4
1550303,8/1/2024,Silver Medal,Rowing,Romania,Ancuta BODNAR,9/25/1998,Female,0,0,3,4,2,9
1550303,8/3/2024,Gold Medal,Rowing,Romania,Ancuta BODNAR,9/25/1998,Female,0,0,3,4,2,9
1550384,8/2/2024,Silver Medal,Rowing,Romania,Ionela Livia COZMIUC,1/3/1995,Female,0,0,3,4,2,9
1550437,8/3/2024,Gold Medal,Rowing,Romania,Maria LEHACI,6/28/1999,Female,0,0,3,4,2,9
1550542,8/3/2024,Gold Medal,Rowing,Romania,Victoria Stefania PETREANU,1/21/2003,Female,0,0,3,4,2,9
1550560,8/1/2024,Silver Medal,Rowing,Romania,Simona RADIS,4/5/1999,Female,0,0,3,4,2,9
1550560,8/3/2024,Gold Medal,Rowing,Romania,Simona RADIS,4/5/1999,Female,0,0,3,4,2,9
1550630,8/3/2024,Gold Medal,Rowing,Romania,Maria Magdalena RUSU,9/30/1999,Female,0,0,3,4,2,9
1550661,8/2/2024,Silver Medal,Rowing,Romania,Gianina Elena van GRONINGEN,5/21/1995,Female,0,0,3,4,2,9
1550789,8/2/2024,Silver Medal,Rowing,Romania,Ioana VRINCEANU,3/7/1994,Female,0,0,3,4,2,9
1550789,8/3/2024,Gold Medal,Rowing,Romania,Ioana VRINCEANU,3/7/1994,Female,0,0,3,4,2,9
1550975,8/1/2024,Gold Medal,Canoe Slalom,Italy,Giovanni de GENNARO,7/21/1992,Male,0,0,12,13,15,40
1551061,8/5/2024,Gold Medal,Artistic Gymnastics,Italy,Alice D'AMATO,2/7/2003,Female,0,0,12,13,15,40
1551061,7/30/2024,Silver Medal,Artistic Gymnastics,Italy,Alice D'AMATO,2/7/2003,Female,0,0,12,13,15,40
1551186,8/1/2024,Gold Medal,Rowing,Romania,Andrei Sebastian CORNEA,11/10/1999,Male,0,0,3,4,2,9
1551238,8/1/2024,Gold Medal,Rowing,Romania,Marian Florian ENACHE,8/5/1995,Male,0,0,3,4,2,9
