medal_date,medal_type,athlete_id,discipline
2024-08-05,Bronze Medal,1919480,Artistic Gymnastics
2024-08-05,Gold Medal,1551061,Artistic Gymnastics
2024-08-05,Silver Medal,1918881,Artistic Gymnastics
2024-08-05,Bronze Medal,1560762,Artistic Gymnastics
2024-08-05,Gold Medal,1953634,Artistic Gymnastics
2024-08-05,Silver Medal,1959861,Artistic Gymnastics
2024-08-05,Bronze Medal,1550170,Artistic Gymnastics
2024-08-05,Gold Medal,1569203,Athletics
2024-08-05,Silver Medal,1960178,Athletics
2024-08-05,Bronze Medal,1961218,Athletics
2024-08-05,Gold Medal,1910560,Athletics
2024-08-05,Silver Medal,1910451,Athletics
2024-08-05,Bronze Medal,1972105,Athletics
2024-08-05,Gold Medal,1924429,Athletics
2024-08-05,Silver Medal,1536498,Athletics
2024-08-05,Bronze Medal,1928047,Athletics
2024-08-05,Gold Medal,1960721,Athletics
2024-08-05,Silver Medal,1919067,Athletics
2024-08-05,Bronze Medal,1922205,Athletics
2024-08-05,Gold Medal,1888993,Badminton
2024-08-05,Silver Medal,1926294,Badminton
2024-08-05,Bronze Medal,1566617,Badminton
2024-08-05,Gold Medal,1891498,Badminton
2024-08-05,Silver Medal,1913436,Badminton
2024-08-05,Gold Medal,1945386,Canoe Slalom
2024-08-05,Silver Medal,1896032,Canoe Slalom
2024-08-05,Bronze Medal,1913780,Canoe Slalom
2024-08-05,Gold Medal,1940209,Canoe Slalom
2024-08-05,Silver Medal,1880483,Canoe Slalom
2024-08-05,Bronze Medal,1896045,Canoe Slalom
2024-08-05,Gold Medal,1913913,Shooting
2024-08-05,Silver Medal,1893852,Shooting
2024-08-05,Bronze Medal,1913919,Shooting
2024-08-05,Gold Medal,1567361,Surfing
2024-08-05,Silver Medal,1946129,Surfing
2024-08-05,Bronze Medal,1955778,Surfing
2024-08-05,Gold Medal,1943206,Surfing
2024-08-05,Silver Medal,1955783,Surfing
2024-08-05,Bronze Medal,1567359,Surfing
2024-08-06,Gold Medal,1960933,Athletics
2024-08-06,Silver Medal,1924440,Athletics
2024-08-06,Bronze Medal,1965327,Athletics
2024-08-06,Gold Medal,1961246,Athletics
2024-08-06,Silver Medal,1938899,Athletics
2024-08-06,Bronze Medal,1552378,Athletics
2024-08-06,Gold Medal,1965868,Athletics
2024-08-06,Silver Medal,1537325,Athletics
2024-08-06,Bronze Medal,1960588,Athletics
2024-08-06,Gold Medal,1926102,Athletics
2024-08-06,Silver Medal,1971686,Athletics
2024-08-06,Bronze Medal,1910453,Athletics
2024-08-06,Gold Medal,1974290,Athletics
2024-08-06,Silver Medal,1960899,Athletics
2024-08-06,Bronze Medal,1919077,Athletics
2024-08-06,Bronze Medal,1955645,Boxing
2024-08-06,Bronze Medal,1912009,Boxing
2024-08-06,Bronze Medal,1931331,Boxing
2024-08-06,Bronze Medal,1979870,Boxing
2024-08-06,Gold Medal,1555098,Boxing
2024-08-06,Silver Medal,1926828,Boxing
2024-08-06,Bronze Medal,1898283,Boxing
2024-08-06,Bronze Medal,1887975,Boxing
2024-08-06,Gold Medal,1901545,Diving
2024-08-06,Silver Medal,1901544,Diving
2024-08-06,Bronze Medal,1980115,Diving
2024-08-06,Gold Medal,1914912,Equestrian
2024-08-06,Silver Medal,1976553,Equestrian
2024-08-06,Bronze Medal,1976879,Equestrian
2024-08-06,Gold Medal,1946064,Skateboarding
2024-08-06,Silver Medal,1902075,Skateboarding
2024-08-06,Bronze Medal,1544123,Skateboarding
2024-08-06,Gold Medal,1571506,Wrestling
2024-08-06,Silver Medal,1935199,Wrestling
2024-08-06,Bronze Medal,1544882,Wrestling
2024-08-06,Bronze Medal,1919983,Wrestling
2024-08-06,Gold Medal,1939713,Wrestling
2024-08-06,Silver Medal,1919973,Wrestling
2024-08-06,Bronze Medal,1566631,Wrestling
2024-08-06,Bronze Medal,1980153,Wrestling
2024-08-06,Gold Medal,1955304,Wrestling
2024-08-06,Silver Medal,1568241,Wrestling
2024-08-06,Bronze Medal,1570415,Wrestling
2024-08-06,Bronze Medal,1939709,Wrestling
2024-08-07,Gold Medal,1555372,Athletics
2024-08-07,Silver Medal,1965896,Athletics
2024-08-07,Bronze Medal,1910445,Athletics
2024-08-07,Gold Medal,1960177,Athletics
2024-08-07,Silver Medal,1924430,Athletics
2024-08-07,Bronze Medal,1937531,Athletics
2024-08-07,Gold Medal,1912322,Athletics
2024-08-07,Silver Medal,1922593,Athletics
2024-08-07,Bronze Medal,1939824,Athletics
2024-08-07,Gold Medal,1939839,Athletics
2024-08-07,Silver Medal,1965268,Athletics
2024-08-07,Bronze Medal,1974216,Athletics
2024-08-07,Bronze Medal,1895903,Boxing
2024-08-07,Bronze Medal,1879120,Boxing
2024-08-07,Gold Medal,1555537,Boxing
2024-08-07,Silver Medal,1879111,Boxing
2024-08-07,Gold Medal,1564362,Boxing
2024-08-07,Silver Medal,1932824,Boxing
2024-08-07,Bronze Medal,1568204,Boxing
2024-08-07,Bronze Medal,1979904,Boxing
2024-08-07,Gold Medal,1945990,Sailing
2024-08-07,Silver Medal,1905347,Sailing
2024-08-07,Bronze Medal,1944316,Sailing
2024-08-07,Gold Medal,1970500,Sailing
2024-08-07,Silver Medal,1895121,Sailing
